id,title,url
1.258J | GRADUATE,Public Transportation Systems,https://ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017/
2.003J | UNDERGRADUATE,Dynamics and Control I,https://ocw.mit.edu/courses/2-003j-dynamics-and-control-i-fall-2007/
2.003SC | UNDERGRADUATE,Engineering Dynamics,https://ocw.mit.edu/courses/2-003sc-engineering-dynamics-fall-2011/
2.087 | UNDERGRADUATE,Engineering Math: Differential Equations and Linear Algebra,https://ocw.mit.edu/courses/2-087-engineering-math-differential-equations-and-linear-algebra-fall-2014/
2.57 | GRADUATE,Nano-to-Macro Transport Processes,https://ocw.mit.edu/courses/2-57-nano-to-macro-transport-processes-spring-2012/
2.627 | UNDERGRADUATE,Fundamentals of Photovoltaics,https://ocw.mit.edu/courses/2-627-fundamentals-of-photovoltaics-fall-2013/
"2.71 | UNDERGRADUATE, GRADUATE",Optics,https://ocw.mit.edu/courses/2-71-optics-spring-2009/
2.830J | GRADUATE,Control of Manufacturing Processes (SMA 6303),https://ocw.mit.edu/courses/2-830j-control-of-manufacturing-processes-sma-6303-spring-2008/
2.993 | UNDERGRADUATE,Special Topics in Mechanical Engineering: The Art and Science of Boat Design,https://ocw.mit.edu/courses/2-993-special-topics-in-mechanical-engineering-the-art-and-science-of-boat-design-january-iap-2007/
3.012SX | UNDERGRADUATE,Structure of Materials,https://ocw.mit.edu/courses/3-012sx-structure-of-materials-spring-2019/
